Title,CAS Number,Use(s),Date Listed,Type of Toxicity,Listing Mechanism
Chlorotrianisene,569-57-3,Medicine (synthetic estrogen),01-Sep-96,cancer,FR
Chlorozotocin,54749-90-5,Medicine (leukemia treatment),01-Jan-92,cancer,AB
Chlorpyrifos,2921-88-2,Organophosphate pesticide,15-Dec-17,developmental,SQE
Chlorsulfuron,64902-72-3,,,,
Chromic Trioxide,1333-82-0,"Metal finishing and plating; medicine (caustic to remove warts and other growths); manufacture in wood preservation products, catalysts, chromium dioxide, and pigments.",,,
Chromium III,1308-14-1,"Used as a pigment, as a mordant, and as a catalyst for organic reactions.",,,
Chromium-hexavalent,18540-29-9,"Production of stainless steel, textile dyes, wood preservatives, leather tanning, anti-corrosion and conversion coatings, electroplating",,,
Chrysene,218-01-9,"Manufacture of dyes, research chemical; natural constituent of coal tar; component of creosote (wood preservative) and tobacco smoke",01-Jan-90,cancer,AB
Ciclosporin,59865-13-3; 79217-60-0,,,,
Cidofovir,113852-37-2,Medicine (treatment of CMV retinitis),29-Jan-99,"cancer, developmental, female, male",FR
Cinnamyl Anthranilate,87-29-6,Fragrance additive. Banned as food additive (flavoring agent) in the US in 1985.,,,
Cisplatin,15663-27-1,Medicine (treatment of cancer),01-Oct-88,cancer,SQE
Citrus Red No. 2,6358-53-8,Dye to color the skin of oranges,01-Oct-89,cancer,LC
Cladribine,4291-63-8,Medicine (treatment of chronic lymphocytic leukemia),01-Sep-96,developmental,FR
Clarithromycin,81103-11-9,Medicine (antibiotic),01-May-97,developmental ,FR
Clobetasol Propionate,25122-46-7,"Medicine (corticosteroid, treatment for skin disorders)",,,
Clodinafop-Propargyl,105512-06-9,Herbicide used on spring wheat,,,
Clofibrate,637-07-0,Medicine (antilipidemic),01-Sep-96,cancer,FR
Clomiphene and its salts,911-45-5,"Pharmaceutical agent used to induce ovulation in anovulatory females, and to induce normal menstrual cycling in amenorrhea or oligomenorrhea. Clomiphene citrate has also been used in men to treat oligospermia.",,,
Clomiphene Citrate,50-41-9,Medicine (fertility treatment),,,
Clorazepate Dipotassium,57109-90-7,,,,
Cobalt (II) Oxide,1307-96-6,"Cobalt(II) oxide or cobalt monoxide is an inorganic compound that appears as olive-green to red crystals, or as a greyish or black powder. It is used extensively in the ceramics industry as an additive to create blue colored glazes and enamels as well as in the chemical industry for producing cobalt(II) salts.",,,
Cobalt Metal Powder,7440-48-4,"Alloys, batteries, catalysts, pigments",,,
Cobalt Sulfate,10124-43-3,"Component of storage batteries; preparation of pigments, manufacture of other cobalt salts; mineral supplement in animal feeds",,,
Cobalt Sulfate Heptahydrate,10026-24-1,,,,
Cocaine,50-36-2,Recreational drug,01-Jul-89,"developmental, female",SQE
Coconut oil diethanolamine condensate (cocamide diethanolamine),,,22-Jun-12,cancer,LC
Codeine Phosphate,52-28-8,"Medicine (analgesic, antitussive, antidiarrheal opiate)",,,
Coke Oven Emissions,,"Emissions from production of coke (pure carbon), a component in manufacturing iron and steel",,,
Colchicine,64-86-8,Medicine (treatment for gout),01-Oct-92,"developmental, male",FR
Conjugated Estrogens,,,,,
Copper,7440-50-8,"Electrical conductors, roofing and plumbing, industrial machinery, pesticide, antibiofouling surfaces; alloys for currency, jewelry, decoration, etc.; component of tobacco smoke",,,
Copper and Copper Compounds,,"Electrical conductors, roofing and plumbing, industrial machinery, pesticide, antibiofouling surfaces; alloys for currency, jewelry, decoration, etc.; compounds for organic chemical synthesis, fungicide, test for reducing sugars, wood preservative, glass and ceramic glazes; component of tobacco smoke",,,
Coumarin,91-64-5,"Pharmaceutic aid (flavor); deodorizing and odor enhancing agent in soaps, tobacco and rubber products;",,,
Creosote (Coal Tar-Derived),8001-58-9,"Wood preservative, waterproofing agent, anti-fouling agent, lubricant, animal repellent, insecticide, animal dip, fungicide; component of roofing pitch, fuel oil; distillation product of coal tar, product of incomplete coal combustion",,,
Creosotes,,,01-Oct-88,cancer,SQE
p-Cresidine,120-71-8,Chemical intermediate in production of azo dyes and pigments,01-Jan-88,cancer,SQE
Cresol Mixtures,1319-77-3,"Extracted from coal tar and petroleum, or synthesized by sulfonation or oxidation of toluene; used in production of plastic, resins, coumarin, herbicides, degreasers, fumigants, pharmaceuticals, dyes; component of tobacco smoke",,,
Cumene,98-82-8,Production of cumene hydroperoxide,06-Apr-10,cancer ,AB
Cupferron,135-20-6,Analytical reagent used to separate and precipitate metals,01-Jan-88,cancer,SQE
Cyanazine,21725-46-2,Herbicide,01-Apr-90,developmental,FR
Cyanide,57-12-5,Gaseous pesticide (fumigant). Naturally found in stone fruit seeds and cassava roots.,,,
Cycasin,14901-08-7,"Phytotoxin found in cyads, which grow in many subtropical and tropical parts of the world and used for a starchy staple food in New Guinea and the Moluccas",01-Jan-88,cancer,SQE
Cycloate,1134-23-2,"Herbicide (broad spectrum, pre-emergent)",19-Mar-99,developmental ,AB
Cyclohexanol,108-93-0,"Soap making to incorporate solvents and phenolic insecticides; source of adipic acid for nylon; textile finishing; solvent for alkyd and phenolic resins, cellulosics, blending agent, lacquers, paints and varnishes, finish removers, emulsified products, leather degreasing, polishes, plasticizers, plastics, and germicides",,,
Cycloheximide,66-81-9,Produced by bacterium Streptomyces griseus; research chemical (inhibitor of protein biosynthesis),01-Jan-89,developmental,FR
Cyclopenta[cd]pyrene,27208-37-3,,29-Apr-11,cancer,LC
Cyclophosphamide (Anhydrous),50-18-0,"Medicine (antineoplastic and immunosuppressive), defleecing sheep",,,
Cyclophosphamide (Hydrated),6055-19-2,"Medicine (antineoplastic- treatment for malignant lymphoma, multiple myeloma, leukemias), defleecing sheep, insect sterilant",,,
Cyhexatin,13121-70-5,"Insecticide, acaricide",01-Jan-89,developmental,FR
Cyromazine,66215-27-8,insect growth regulator used as an insecticide and an acaricide,,,
Cytarabine,147-94-4,"Medicine (antineoplastic, antiviral)",01-Jan-89,developmental,SQE
Cytembena,21739-91-3,Medicine (treatment for cancer); not produced or used in the US,15-May-98,cancer ,AB
D&C Orange No. 17,3468-63-1,Removed from FDA authorized color additives list in 1983,01-Jul-90,cancer,AB
D&C Red No. 19,81-88-9,Removed from FDA authorized color additives list in 1984,01-Jul-90,cancer,AB
D&C Red No. 8,2092-56-0,Removed from FDA authorized color additives list in 1987,01-Oct-90,cancer,AB
D&C Red No. 9,01-02-5160,"Pigment in topical drugs and cosmetics. Certified grade of CI Pigment Red 53:1 (pigment in inks, paper, crayons, rubber, enamel)",01-Jul-90,cancer,AB
Dacarbazine,04-03-4342,Medicine (antineoplastic),01-Jan-88,cancer,SQE
Dacarbazine,04-03-4342,Medicine (antineoplastic),29-Jan-99,developmental ,FR
Dalapon,75-99-0,Previously used as an herbicide,,,
Daminozide,1596-84-5,Plant growth retardant. No agricultural food use in US since 1989.,01-Jan-90,cancer,AB
Danazol,17230-88-5,"Medicine (modified progestogen, treatment for endometriosis)",01-Apr-90,developmental,FR
Dantron,117-10-2,"Medicine (palliative- laxative), chemical intermediate (dyes)",,,
Daunomycin,20830-81-3,Medicine (chemotherapeutic),01-Jan-88,cancer,SQE
Daunorubicin Hydrochloride,23541-50-6,Used to treat acute myelogenous leukemia (AML) and acute lymphoblastic leukemia (ALL).,,,
"o,p'-DDT",789-02-6,,15-May-98,"developmental, female, male ",AB
"DDT, DDD, DDE (combination)",,"DDT is an insecticide currently used for public health emergencies only. DDD and DDE are degradation products of DDT, and are commonly detected in the environment alongside DDT.",,,
"Delta-8,9-isomer of Avermectin B1",,Plant photo-degradate of the pesticide Avermectin B1,,,
Deltamethrin,52918-63-5,"Broad-spectrum pyrethroid insecticide, wood preservative",,,
Demeclocycline Hydrochloride,64-73-3,Antibiotic used to treat various types of bacterial infections.,,,
Di(2-ethylhexyl)adipate,103-23-1,"Plasticizer in polyvinyl chloride plastics (often used for storing and protecting food), solvent in cosmetics; component of electric wire insulator, vinyl-coated fabrics, synthetic rubber, and hydraulic fluid",,,
Di(2-ethylhexyl)phthalate,117-81-7,Plasticizer for many resins and elastomers; component of tobacco smoke,,,
Di-isodecyl Phthalate (DIDP),68515-49-1; 26761-40-0,"Plasticizer in PVC, production of rubber, anti-corrosion paints, anti-fouling paints, sealing compounds, textile inks",,,
Di-n-butyl Phthalate,84-74-2,"Plasticizer in carpet backings, paints, adhesives, hair spray, and nail polish; ectoparasiticide",,,
Di-n-hexyl Phthalate (DnHP),84-75-3,Production of plastisols,,,
Di-n-propyl Isocinchomeronate,136-45-8,Pesticide. Registration voluntarily cancelled for all livestock uses in the US in 1994.,,,
"N,N'-Diacetylbenzidine",613-35-4,,01-Oct-89,cancer,LC
"2,4-Diaminoanisole",615-05-4,"Chemical intermediate in production of hair and fur dyes (C.I. Basic Brown 2); corrosion inhibitor for steel. Previously used in permanent, oxidative hair dyes until the late 1970s.",01-Oct-90,cancer,FR
"2,4-Diaminoanisole Sulfate",39156-41-7,Chemical intermediate in production of dye (C.I. basic brown 2). Voluntarily removed from use as component of oxidizing hair and fur dye formulations in the US by 1980.,,,
"4,4-Diaminodiphenyl Ether",101-80-4,"Production of polymer resins, epoxy resins, and epoxy adhesives",,,
"2,4-Diaminotoluene",95-80-7,"Chemical intermediate in the production of toluene diisocyanate; production of dyes; photographic developer; preparation of impact resins, antioxidants, hydraulic fluids, urethane foams, and fungicide stabilizers. Use in hair dye formulations ceased in the US in 1971.",01-Jan-88,cancer,SQE
Diaminotoluene (Mixed),,,,,
o-Dianisidine,119-90-4,"Chemical intermediate in production of azo dyes for leather, paper, plastic, rubber, and textiles",,,
Diazepam,439-14-5,"Medicine (benzodiazepine to treat anxiety, seizures, alcohol and opiate withdrawal, and Meniere's disease)",01-Jan-92,developmental,FR
Diazoaminobenzene,136-35-6,"Chemical intermediate, complexing agent, polymer additive; contaminant in certain coloring additives",20-May-05,cancer ,LC
Diazoxide,364-98-7,"Medicine (treatment for hypertension, excess insulin)",27-Feb-01,developmental ,FR
Dibenzanthracenes,,"Product of incomplete combustion of organic matter (e.g., cigarette and marijuana smoke, gasoline engine exhaust, and industrial emissions such as fuel combustion, coke oven operations, and coal-tar distillation). Also produced during high temperature cooking (e.g., grilling, broiling, roasting, baking, frying).",26-Dec-14,cancer,SQE
"Dibenzo[a,e]pyrene",192-65-4,Research chemical (induces cancer); component of tobacco smoke,01-Jan-88,cancer,SQE
"Dibenzo[a,h]pyrene",189-64-0,Research chemical (induces cancer); component of tobacco smoke,01-Jan-88,cancer,SQE
"Dibenzo[a,i]pyrene",189-55-9,Research chemical (induces cancer); component of tobacco smoke,01-Jan-88,cancer,SQE
"Dibenzo[a,l]pyrene",191-30-0,Research chemical (induces cancer); component of tobacco smoke,01-Jan-88,cancer,SQE
"7H-dibenzo[c,g]carbazole",194-59-2,Component of tobacco smoke,,,
"Dibenz[a,c]anthracene",215-58-7,"Product of incomplete combustion of organic matter (e.g., cigarette and marijuana smoke, gasoline engine exhaust, and industrial emissions such as fuel combustion, coke oven operations, and coal-tar distillation). Also produced during high temperature cooking (e.g., grilling, broiling, roasting, baking, frying).",26-Dec-14,cancer,SQE
"Dibenz[a,h]acridine",226-36-8,"Research chemical; found in petroleum refinery emissions, coal combustion emissions, tobacco smoke, and coal tar pitch",01-Jan-88,cancer,SQE
"Dibenz[a,h]anthracene",53-70-3,Research chemical; product of incomplete combustion; component of tobacco smoke,01-Jan-88,cancer,SQE
"Dibenz[a,j]acridine",224-42-0,"Research chemical (induces cancer); product of incomplete combustion. Found in automobile exhaust, coal-burning effluent, incinerator effluent, tobacco smoke",01-Jan-88,cancer,SQE
"Dibenz[a,j]anthracene",224-41-9,"Product of incomplete combustion of organic matter (e.g., cigarette and marijuana smoke, gasoline engine exhaust, and industrial emissions such as fuel combustion, coke oven operations, and coal-tar distillation). Also produced during high temperature cooking (e.g., grilling, broiling, roasting, baking, frying).",26-Dec-14,cancer,SQE
"2,3-Dibromo-1-propanol",96-13-9,Production of fire-retardant urethane foams,01-Oct-94,cancer,AB
"1,2-Dibromo-3-chloropropane",96-12-8,"Pesticide, nematicide, soil fumigant; chemical intermediate. No longer produced or used agriculturally in US since 1985.",,,
Dibromoacetic Acid,631-64-1,Research chemical; water disinfection byproduct,,,
Dibromoacetonitrile,3252-43-5,Antimicrobial component in metalworking fluid; water disinfection byproduct,03-May-11,cancer,AB
Dibromochloromethane,124-48-1,"Laboratory reagent, chemical intermediate; formerly used as flame retardant. Byproduct of chlorination of bromide-containing water for drinking.",,,
"1,2-Dibromoethane",106-93-4,"Pesticide for felled logs and beehives; chemical intermediate for dyes, resins, waxes, and gums. Former pesticide and ingredient of soil and grain fumigant formulations until these uses were banned in the US in 1984. Use as a lead scavenger in antiknock gasoline mixtures ended with the phase-out of leaded gasoline in the US by 1996. Trace amounts occur naturally in the ocean.",,,
Dicamba,1918-00-9,Herbicide; plant growth regulator,,,
"2,4-Dichloro-1-Nitrobenzene",611-06-3,Used as a chemical intermediate for the synthesis of chlormethoxyfen.,,,
"1,4-Dichloro-2-butene",764-41-0,Chemical synthesis,01-Jan-90,cancer,AB
"1,4-Dichloro-2-Nitrobenzene",89-61-2,"Used extensively in the manufacture of dyestuff intermediates and as an intermediate for pigments, pesticides and UV absorbents in closed systems.",,,
"1,3-Dichloro-2-propanol",96-23-1,Chemical intermediate in epichlorohydrin production; chemical synthesis,,,
"3,3'-Dichloro-4,4'-diamino-diphenyl Ether",28434-86-8,,,,
Dichloroacetic Acid,79-43-6,Chemical intermediate in organic synthesis; analytical reagent; medicine (medicinal disinfectant; cauterization),,,
"1,2-Dichlorobenzene",95-50-1,"Solvent, degreasing agent, insecticide, deodorizing agent; intermediate in production of chemicals, herbicides, and dyes; a byproduct of chlorobenzene production",,,
"1,4-Dichlorobenzene",106-46-7,"Insecticide, germicide, space and garbage deodorizer; chemical intermediate in organic chemicals, dyes, and pharmaceuticals",,,
"3,3-Dichlorobenzidine",91-94-1,Curing agent for solid urethane plastics. Formerly used in the US as chemical intermediate for dyes.,,,
"3,3'-Dichlorobenzidine Dihydrochloride",612-83-9,,,,
Dichlorodiphenyldichloroethane (DDD),72-54-8,"Dusts, emulsions, and wettable powders for contact control of leaf rollers and other insects; degradation product of DDT",,,
Dichlorodiphenyldichloroethylene (DDE),72-55-9,Degradation product of DDT,,,
Dichlorodiphenyltrichloroethane (DDT),50-29-3,Insecticide. Banned for agricultural use in the US in 1972; Stockholm Convention (not ratified by the US) restricted use to public health vector control in 2004.,,,
"1,1-Dichloroethane",75-34-3,Intermediate in chemical synthesis; solvent. Formerly used as a surgical anesthetic.,01-Jan-90,cancer,AB
"1,2-Dichloroethane",107-06-2,"Insect fumigant for grains and orchards, solvent for resins and fats, gasoline additive to remove lead; chemical intermediate in organic synthesis (vinyl chloride); precursor to dry cleaning agent",,,
"1,1-Dichloroethylene",75-35-4,"Comonomer in the polymerization of vinyl chloride, acrylonitrile, and acrylates; production of adhesives, fibers, refrigerants, food packaging and coating resins",,,
"1,2-Dichloroethylene, cis",156-59-2,"Chemical intermediate in synthesis of chlorinated solvents and compounds; solvent, extraction solvent, refrigerant",,,
"1,2-Dichloroethylene, trans",156-60-5,"Chemical intermediate in synthesis of chlorinated solvents and compounds; solvent, extraction solvent, refrigerant",,,
Dichlorophene,97-23-4,Medicine (treatment for tapeworm),27-Apr-99,developmental ,AB
"2,4-Dichlorophenoxyacetic Acid",94-75-7,"Herbicide, fruit drop control; research chemical (synthetic auxin)",,,
"1,2-Dichloropropane",78-87-5,"Chemical intermediate in production of carbon tetrachloride and perchloroethylene; industrial solvent for fats, oils, resins, waxes, and rubber. No longer used as pesticide fumigant in the US.",01-Jan-90,cancer,AB
"1,3-Dichloropropene",542-75-6,"Nematicide, soil fumigant",01-Jan-89,cancer,SQE
Dichlorphenamide,120-97-8,Medicine (treatment for glaucoma),27-Feb-01,developmental ,FR
Dichlorprop,120-36-5,Herbicide,,,
Dichlorvos,62-73-7,"Insecticide, veterinary medicine (worming agent, botacide). All domestic uses, and many commercial and industrial uses banned in the US in 1995.",,,
Diclofop Methyl,51338-27-3,Restricted-use herbicide,,,
Dicrotophos,141-66-2,organophosphate acetylcholinesterase inhibitor used as an insecticide,,,
Dicumarol,66-76-2,Naturally occurring anticoagulant; medicine (treatment for deep venous thrombosis),01-Oct-92,developmental,FR
Dieldrin,60-57-1,Formerly used as an insecticide; product of oxidized aldrin (former insecticide). All uses except termite control banned in US in 1974; all uses banned in US in 1987.,01-Jul-88,cancer,SQE
Dienestrol,84-17-3,,,,
Diepoxybutane,1464-53-5,Research chemical,01-Jan-88,cancer,SQE
Diesel Exhaust Particulate,,Component of diesel emissions,,,
Diethanolamine,111-42-2,"Surfactant, corrosion inhibitor; component in soaps, shampoo, cleaners, polishers, cosmetings, and pharmaceuticals; chemical intermediate in rubber chemicals industry",22-Jun-12,cancer,LC
Diethyl Sulfate,64-67-5,"Chemical intermediate (ethylating agent) in production of dyes, pigments, carbonless paper, and textiles; component of household products, agricultural chemicals, and pharmaceuticals",,,
"N,N-Diethyl-m-toluamide",134-62-3,insect repellent,,,
"1,2-Diethylhydrazine",1615-80-1,Research chemical,01-Jan-88,cancer,SQE
Diethylstilbestrol,56-53-1,"Veterinary medicine (canine incontinence). Formerly used in medicine to prevent spontaneous abortion, treat prostate cancer and breast cancer; marketing in US ended in 1997. Formerly used as growth hormone in beef and poultry industries (phased out in late 1970s).",,,
Diflunisal,22494-42-4,Medicine (NSAID),29-Jan-99,"developmental, female ",FR
Diglycidyl ether,05-07-2238,"Used as a diluent for epoxy resins, as a textile-treating agent and as a stabilizer for chlorinated organic compounds",,,
Diglycidyl Resorcinol Ether,101-90-6,"Epoxy resin, diluent in production of other epoxy resins; curing agent in production of polysulfide rubber",,,
Dihydroergotamine Mesylate,6190-39-2,,,,
Dihydrosafrole,94-58-6,"Derivative of safrole, a natural constituent of the sassafras plant. Former flavoring agent in root beer in the US until 1960; former fragrance in cosmetics. Byproduct in production of piperonyl butoxide.",01-Jan-88,cancer,SQE
Diisononyl Phthalate,,plasticizer,,,
Diisopropyl Sulfate,06-10-2973,Chemical intermediate in preparation of isopropanol from propylene,,,
Diltiazem Hydrochloride,33286-22-5,,,,
"3,3-Dimethlybenzidine Dihydrochloride",612-82-8,"Chemical intermediate in production of dye, pigment, adhesives, and polyurethane elastomers",,,
Dimethoate,60-51-5,Acaricide; insecticide for deciduous fruits and nuts; medication (vet),,,
"3,3-Dimethoxybenzidine Dihydrochloride",20325-40-0,Chemical intermediate in production of dye,,,
"3,3'-Dimethoxybenzidine-based dyes metabolized to 3,3'-dimethoxybenzidine",,,11-Jun-04,cancer ,AB
Dimethyl chlorothiophosphate,2524-03-0,,,,
Dimethyl Sulfate,77-78-1,"Reagent for methylation of phenols, amines, and thiols; formerly used in chemical warfare",,,
"2,6-Dimethyl-N-nitrosomorpholine",1456-28-6,,,,
"N,N-Dimethyl-p-toluidine",99-97-8,,02-May-14,cancer,AB
"N,N-Dimethylacetamide",127-19-5,,13-Sep-19,cancer,LC
"2,4-D Dimethylamine Salt",2008-39-1,Herbicide,,,
4-Dimethylaminoazobenzene,60-11-7,"Dye for polishes, polystyrene, and soap; pH indicator. Not currently produced or used commercially in US.",01-Jan-88,cancer,SQE
"7,12-Dimethylbenz(a)anthracene",57-97-6,"Research chemical (induces cancer, immunosuppressor)",01-Jan-90,cancer,AB
"3,3-Dimethylbenzidine",119-93-7,Chemical intermediate in production of dyes,,,
"3,3'-Dimethylbenzidine-based dyes metabolized to 3,3'-dimethylbenzidine",,,11-Jun-04,cancer ,AB
Dimethylcarbamoyl Chloride,79-44-7,"Chemical intermediate in production of dye, pharmaceuticals, pesticide, and rocket fuel",,,
Dimethylformamide,68-12-2,"Solvent in production of polyurethane products, acrylic fibers, pharmaceuticals, and coatings; component of tobacco smoke",,,
"1,1-Dimethylhydrazine",57-14-7,Rocket propellant; chemical synthesis,,,
"1,2-Dimethylhydrazine",540-73-8,Research chemical (induces cancer),01-Jan-88,cancer,SQE
Dimethylvinylchloride,513-37-1,Research chemical; organic synthesis; chemical intermediate for production of isobutylene compounds,01-Jul-89,cancer,SQE
m-Dinitrobenzene,99-65-0,"Chemical intermedate in organic synthesis; production of dyes, explosives, industrial solvents, and pesticides",01-Jul-90,male,AB
o-Dinitrobenzene,528-29-0,,01-Jul-90,male,AB
p-Dinitrobenzene,100-25-4,,01-Jul-90,male,AB
"3,7-Dinitrofluoranthene",105735-71-5,"Component of diesel emissions, incomplete combustion products of liquefied petroleum gas",26-Aug-97,cancer ,AB
"3,9-Dinitrofluoranthene",22506-53-2,"Component of diesel emissions, incomplete combustion products of liquefied petroleum gas",26-Aug-97,cancer ,AB
"1,3-Dinitropyrene",75321-20-9,,02-Nov-12,cancer,LC
"1,6-Dinitropyrene",42397-64-8,Found in diesel exhaust and particles derived from coal-burning,01-Oct-90,cancer,AB
"1,8-Dinitropyrene",42397-65-9,Found in diesel exhaust and airborne particulates,01-Oct-90,cancer,AB
"2,4-Dinitrotoluene",121-14-2,Chemical intermediate in manufacture of polyurethanes and dye processes; gelatinizing and waterproofing agent in explosives,01-Jul-88,cancer,SQE
"2,4-Dinitrotoluene",121-14-2,Chemical intermediate in manufacture of polyurethanes and dye processes; gelatinizing and waterproofing agent in explosives,20-Aug-99,male ,AB
"2,6-Dinitrotoluene",606-20-2,"Production of waterproofing for explosives, plasticizer in propellants; chemical intermediate in production of TNT, urethane polymers, flexible and rigid foams, surface coatings, and dyes",01-Jul-95,cancer,SQE
"2,6-Dinitrotoluene",606-20-2,"Production of waterproofing for explosives, plasticizer in propellants; chemical intermediate in production of TNT, urethane polymers, flexible and rigid foams, surface coatings, and dyes",20-Aug-99,male ,AB
Dinitrotoluene (Technical Grade),,,,,
"Dinitrotoluene Mixture (2,4 and 2,6)",,,,,
Dinocap,39300-45-3,"Fungicide, acaricide",01-Apr-90,developmental,FR
Dinoseb,88-85-7,"Herbicide, insecticide, miticide; corn enhancer. Banned for agricultural uses in US in 1986; no current registered uses in California.",01-Jan-89,"developmental, male",FR
"1,4-Dioxane",123-91-1,"Solvent, dehydrating agent; stabilizer in chlorinated solvents",01-Jan-88,cancer,SQE
Diphenylhydantoin,57-41-0,Medicine (anticonvulsant),,,
"Diphenylhydantoin (Phenytoin), Sodium Salt",630-93-3,Medicine (anticonvulsant),,,
Diquat,231-36-7,Herbicide (pre-harvest desiccation),,,
Diquat dibromide,85-00-7,contact herbicide that produces desiccation and defoliation,,,
Direct Black 38 (Technical Grade),1937-37-7,"Dye for cellulose, silk fibers, leather and paper",,,
Direct Blue 6 (Technical Grade),2602-46-2,"Dye for fabric,leather, silk, wool, cotton, paper and stain biological materials as well as produce aqueous inks. Has also been used as a hair dye component.",,,
Direct Brown 95 (Technical Grade),16071-86-6,"Dye for textiles, leather, plastics, paper",,,
Disodium Cyanodithioimidocarbonate,138-93-2,Microbiocide in food processing water systems,,,
Disperse Blue 1 (Technical Grade),2475-45-8,"Azo dye for hair, fabrics, synthetic fibers, fur, sheepskins, thermoplastics, and some personal care products; solvent dye in cellulose acetate plastics",,,
Diuron,330-54-1,"Herbicide, component of defoliant; research chemical (block photosynthesis system)",31-May-02,cancer,AB
Doxorubicin Hydrochloride,25316-40-9,Medicine (antineoplastic),,,
Doxycycline,564-25-0,Medicine (antibiotic),,,
Doxycycline Calcium,94088-85-4,Medicine (antibacterial),,,
Doxycycline Hyclate,24390-14-5,Medicine (antibacterial),,,
Doxycycline Monohydrate,17086-28-1,Medicine (antibacterial),,,
Emissions from combustion of coal,,,07-Aug-13,cancer,AB
Emissions from high-temperature unrefined rapeseed oil,,,03-Jan-14,cancer,AB
Endosulfan,115-29-7,Organochlorine pesticide,,,
Endothall,145-73-3,"Herbicide, defoliant",,,
Endrin,72-20-8,"Previously used as an insecticide, avicide, and rodenticide. Most uses cancelled in the US in 1980; not produced or sold for general use in the US since 1986.",,,
Environmental Tobacco Smoke (ETS),,,,,
Epichlorohydrin,106-89-8,"Production of synthetic materials, including epoxy and phenoxy resins, synthetic glycerol, and elastomers; solvent, fumigant; chemical intermediate",01-Oct-87,cancer,SQE
Epichlorohydrin,106-89-8,"Production of synthetic materials, including epoxy and phenoxy resins, synthetic glycerol, and elastomers; solvent, fumigant; chemical intermediate",01-Sep-96,male,AB
Epoxiconazole,135319-73-2,Fungicide,15-Apr-11,cancer,AB
"1,2-Epoxybutane",106-88-7,Stabilizer in chlorinated hydrocarbon solvents,,,
Ergotamine Tartrate,379-79-3,,,,
Erionite,12510-42-8; 66733-21-9,Naturally occurring in volcanic ash altered by weathering and ground water. Formerly used as a catalyst in a hydrocarbon-cracking process.,01-Oct-88,cancer,SQE
Estradiol 17B,50-28-2,"Most active naturally occuring estrogenic hormone. Used in human medicine for treatment of amenorrhea, local treatment of atrophic vaginitis and psychological disturbances",01-Jan-88,cancer,SQE
Estragole,140-67-0,Component of various herbs; used in the preparation of fragrances,29-Oct-99,cancer,SQE
Estrogen-Progestogen (Combined),,,,,
"Estrogens, Steroidal",,,,,
Estrone,53-16-7,Endogenous estrogenic hormone; component of norsteroid and some medications,01-Jan-88,cancer,SQE
Estropipate,7280-37-7,"Medicine (hormone replacement therapy, breast and prostate cancer treatment)",,,
Ethinylestradiol,57-63-6,Endogenous estrogenic hormone; medication (combined oral contraceptives),01-Jan-88,cancer,SQE
Ethionamide,536-33-4,,,,
Ethoprop,13194-48-4,Insecticide,27-Feb-01,cancer ,AB
Ethyl Acrylate,140-88-5,"Production of polymers used in paints, textiles, and fibers; reagent in synthesis of pharmaceutical intermediates",,,
Ethyl alcohol in alcoholic beverages,,,01-Oct-87,developmental,SQE
Ethyl Dipropylthiocarbamate,759-94-4,Herbicide,,,
Ethyl Methanesulfonate,62-50-0,"Analytic medicine (genetic screens, other assays)",,,
Ethyl-4-4'-dichlorobenzilate,510-15-6,Insecticide; not registered for use in US since 1999,,,
"2,4-D 2-Ethyl-4-Methylpentyl Ester",53404-37-8; 25168-26-7,Pesticide,,,
Ethyl-tert-butyl ether,637-92-3,"Used as an oxygenate gasoline fuel additive, 	 ",,,
Ethylbenzene,100-41-4,"Styrene, synthetic rubber, airplane fuel); component of tobacco smoke",11-Jun-04,cancer ,AB
Ethylene Glycol,107-21-1,"Antifreeze agent, solvent; production of polyester fibers, PET for bottling; component in ink",,,
Ethylene Glycol Monobutyl Ether,111-76-2,"Solvent; component of cleaning products, cosmetics, lacquers, latex paint, firefighting foam, hydraulic fluid",,,
Ethylene Glycol Monoethyl Ether,110-80-5,"Solvent for nitrocellulose, dyes, resins, and coatings; component of hydraulic fluid; anti-icing fuel additive in aviation",,,
Ethylene Glycol Monoethyl Ether Acetate,111-15-9,"Solvent for cellulose, resins, and coating applications",,,
Ethylene Glycol Monomethyl Ether,109-86-4,"Solvent for dyes, varnishes, and resins; antifreezing agent; chemical synthesis",,,
Ethylene Glycol Monomethyl Ether Acetate,110-49-6,"Solvent for gums, resins, waxes, and oils; manufacture of semiconductors; textile printing, photographic films",,,
Ethylene Oxide,75-21-8,"Agricultural product fumigant, disinfectant (hospital equipment), thermobaric weapons; organic chemical synthesis (ethylene glycol and higher glycols), production of detergents, solvents, plastics, adhesives, antifreeze, pharmaceuticals; component of tobacco smoke",,,
Ethylene Thiourea,96-45-7,Accelerator for vulcanizing polychloroprene (Neoprene) and in the manufacture of certain pesticides; component of tobacco smoke,,,
Ethyleneimine,151-56-4,"Chemical intermediate and monomer in preparation of cationic polymers used in paper, fuel and lubricant refining, protective coatings, textile finishing, polymer stabilizers, and surfactants",,,
2-Ethylhexanoic acid,149-57-5,"Used as a chemical intermediate and for manufacture of resins used for baking enamels, lubricants, detergents, flotation aids, and corrosion inhibitors; also used as a catalyst for polyurethane foaming, for solvent extraction, and for dye granulation",,,
"2,4-D 2-Ethylhexyl Ester",1928-43-4,Pesticide,,,
